做饭 zuò fàn | to cook
吃饭 chī fàn | to eat/have a meal
看电视 kàn diànshì | to watch television
跑步 pǎobù | to run, to jog
踢(足球) tī (zúqiú) | to play (football)
足球 zúqiú | football
看电影 kàn diànyǐng | see a film
运动 yùndòng | to exercise; sport
用电脑 yòng diànnǎo | to use the computer
上网 shàng wǎng | surf the net
比赛 bǐsài | to compete; competition
打乒乓球 dǎ pīngpāngqiú | to play ping pong
打网球 dǎ wǎngqiú | to play tennis
游泳 yóuyǒng | to swim
打篮球 dǎ lánqiú | to play basketball
骑马 qí mǎ | to ride a horse
大 dà | big
好喝 hǎohē | delicious/good to drink
好吃 hǎochī | delicious/good to eat
好玩 hǎowán | fun
好 hǎo | good
新 xīn | new
小 xiǎo | small
有意思 yǒu yìsi | interesting
老 lǎo | old
美丽 / 漂亮 měilì/piàoliang | beautiful
无聊 wúliáo | boring
便宜 piányi | cheap
聪明 cōngmíng | clever
贵 guì | expensive
胖 pàng | fat
高兴 gāoxìng | happy
悲伤 bēishāng | sad
矮 ǎi | short
高 gāo | tall
瘦 shòu | thin
累 lèi | tired
在 zài | to be in/located in
不 bù/bú | no; not
很 hěn | very
非常 fēicháng | very
跟 gēn | with
也 yě | also
和 hé | and
比较 bǐjiào | quite
但是 dànshì | but
手 shǒu | hand
胳膊 gēbo | arm
耳朵 ěrduo | ear
眼睛 yǎnjīng | eyes
脚 jiǎo | foot
腿 tuǐ | leg
嘴巴 zuǐba | mouth
鼻子 bízi | nose
中国 Zhōngguó | China
北京 Běijīng | Beijing
长城 Cháng Chéng | The Great Wall
汉语 Hànyǔ | Chinese
中文 Zhōngwén | Chinese
美国 Měiguó | America
英国 Yīngguó | Britain
法国 Fǎguó | France
上海 Shànghǎi | Shanghai
英语 Yīngyǔ | English
香港 Xiāng Gǎng | Hong Kong
伦敦 Lúndūn | London
故宫 Gùgōng | The Forbidden City
天安门 Tiānānmén | Tiananmen Square
黄河 Huáng Hé | Yellow River
美国人 Měiguórén | American person
中国人 Zhōngguórén | Chinese person
英国人 Yīngguórén | English person
法国人 Fǎguórén | French person
帽子 màozi | hat
毛衣 máoyī | jumper
夹克 jiákè | jacket
衬衫 chènshān | shirt
鞋子 xiézi | shoes
裙子 qúnzi | skirt
恤衫 tìxùshān | tee shirt
袜子 wàzi | socks
裤子 kùzi | trousers
衣服 yīfu | clothing
黑 hēi | black
蓝 lán | blue
绿 lǜ | green
红 hóng | red
白 bái | white
黄 huáng | yellow
上面 shàngmian | above/on
后面 hòumian | behind
下面 xiàmian | below/under
前面 qiánmian | in front (of)
左边 zuǒbian | left
右边 yòubian | right
牛肉 niúròu | beef
鸡肉 jīròu | chicken meat
汽水 qìshuǐ | fizzy drink
牛奶 niúnǎi | milk
水 shuǐ | water
汉堡包 hànbǎobāo | hamburger
早饭 zǎofàn | breakfast
刀 dāo | knife
面包 miànbāo | bread
鸡蛋 jīdàn | chicken egg
咖啡 kāfēi | coffee
可乐 kělè | Coke
面条 miàntiáo | noodles
(米)饭 (mǐ)fàn | rice
茶 chá | tea
午饭 wǔfàn | lunch
晚饭 wǎnfàn | dinner
薯条 shǔtiáo | chips
巧克力 qiǎokèlì | chocolate
苹果汁 píngguǒzhī | apple juice
橙汁 chéngzhī orange juice
筷子 kuàizi | chopsticks
叉 chāzi | fork
勺子 sháozi | spoon
饺子 jiǎozi | dumplings
荔枝 lìzhī | lychee
菜单 càidān | menu
餐馆 cānguǎn | restaurant
咸 xián | salty
辣 là | spicy
甜 tián | sweet
春卷 chūnjuǎn | spring rolls
服务员 fúwùyuán | waiter
蛋糕 dàngāo | cake
你好 nǐ hǎo | hello
再见 zàijiàn | goodbye
谢谢 xièxie | thank you
你好吗？ Nǐ hǎo ma? | How are you?
我很好 Wǒ hěn hǎo. | I am well.
你叫什么？ Nǐ jiǎo shénme? | What are you called?
我叫… Wǒ jiào…. | I am called…
你几岁？ Nǐ jǐ suì? | How old are you?
我…岁 Wǒ ….suì. | I am …. years old.
你住在哪里？ Nǐ zhù zài nǎlǐ? | Where do you live?
我住在… Wǒ zhù zài… | I live in…
你是谁？ Nǐ shì shéi? | Who are you?
我是… Wǒ shì… | I am…
假期 jiàqī | holiday
海 hǎi | the sea
饭店 fàndiàn | hotel/restaurant
海滩 hǎitān | beach
生日 shēngrì | birthday
卡片 kǎpiàn | card
聚会 jùhuì | party
礼物 lǐwù | present
妈妈 māma | mum
爸爸 bàba | dad
哥哥 gēge | elder brother
姐姐 jiějie | elder sister
弟弟 dìdi | younger brother
妹妹 mèimei | younger sister
家 jiā | home
客厅 kètīng | living room
沙发 shāfā | sofa
浴室 yùshì | bathroom/shower room
卧室 wòshì | bedroom
厨房 chúfáng | kitchen
床 chuáng | bed
桌子 zhuōzi | table/desk
椅子 yǐzi | chair
手机 shǒujī | mobile phone
朋友 péngyou | friend
狗 gǒu | dog
动物 dòngwù | animals
玩具 wánjù | toy
东西 dōngxi | thing
一 yī | 1
二 èr | 2
三 sān | 3
四 sì | 4
五 wǔ | 5
六 liù | 6
七 qī | 7
八 bā | 8
九 jiǔ | 9
十 shí | 10
十一...九十九 shí yī … jiǔshíjiǔ | 11…99
一百 yī bǎi | 100
两 liǎng | 2 (before a measure word)
点 diǎn | o'clock
几点了? jǐ diǎn le | What time is it?
几点钟? jǐ diǎn zhōng? | What time is it?
星期 xīngqī | week
星期几？ xīngqī jǐ? | What day of the week is it?
星期一 xīngqī yī | Monday
星期二 xīngqī èr | Tuesday
星期三 xīngqī sān | Wednesday
星期四 xīngqī sì | Thursday
星期五 xīngqī wǔ | Friday
星期六 xīngqī liù | Saturday
星期天 xīngqī tiān | Sunday
星期日 xīngqī rì | Sunday
天 tiān | day/sky
月 yuè | month/moon
几月？ jǐ yuè? | What month is it?
一月 yī yuè | January
二月 èr yuè | February
三月 sān yuè | March
四月 sì yuè | April
五月 wǔ yuè | May
六月 liù yuè | June
七月 qī yuè | July
八月 bā yuè | August
九月 jiǔ yuè | September
十月 shí yuè | October
十一月 shíyī yuè | November
十二月 shí’èr yuè | December
元 Yuán | Yuan/Chinese currency
个 gè | (measure word for things and people)
件 jiàn | (measure word for clothing)
只 zhī | (measure word for some animals)
公园 gōngyuán | park
商店 shāngdiàn | shop
超市 chāoshì | supermarket
邮局 yóujú | post office
我 wǒ | I; me
你 nǐ | you
他 tā | he; him
她 tā | she; her
我们 wǒmen | we; us
我的 wǒ de | my
你的 nǐ de | your
他的/她的 tā de | his/hers
我们的 wǒmen de | ours
你们的 nǐmen de | your (plural)
他们的/她们的 tāmen de | their (male/female)
这里 zhè lǐ | here
那里 nà lǐ | there
里 lǐ | inside
那 nà | that
这 zhè | this
你们 nǐmen | you (plural)
他们 / 她们 tāmen/tāmen | they (m/f); them
吗 ma | question particle
几 jǐ? | how many?
什么 shénme? | what?
哪里/儿 nǎlǐ/ nǎr? | where?
谁 shéi? | who?
多少 duōshǎo qián? | how much?
哪个 nǎ gè? | which?
怎么 zěnme? | how?
包 bāo | bag
书 shū | book
上学 shàngxué | go to school
课 kè | lesson
笔 bǐ | pen
尺 chǐ | ruler
课本 kèběn | textbook
学生 xuésheng | student
老师 lǎoshī | teacher
放学 fàngxué | to finish school
作业 zuòyè | homework
数学 shùxué | maths
体育 tǐyù | PE
科学 kēxué | science
考试 kǎoshì | test/to test
学校 xuéxiào | school
书桌 shūzhuō | desk
图片 túpiàn | picture
白板 báibǎn | whiteboard
汽车 qìchē | car
火车 huǒchē | train
飞机 fēijī | plane
开车 kāi chē | to drive
坐火车 zuò huǒchē | to go by train
坐飞机 zuò fēijī | to go by plane
船 chuán | boat
坐船 zuò chuán | to go by boat
骑车 qí chē | to ride a bicycle
走路 zǒu lù | to walk
去 qù | to go
有 yǒu | have/has; there is/there are
没有 méiyǒu | do not/does not have; there is not/are not
喜欢 xǐhuan | to like
不喜欢 bù xǐhuan | do not/does not like
要 yào | to want
不要 bú yào | do not/does not want
买 mǎi | to buy
做 zuò | to do/make
喝 hē | to drink
吃 chī | to eat
起床 qǐchuáng | to get up
看 kàn | to watch
穿 chuān | to wear
是 shì | to be
叫 jiào | to be called
睡觉 shuìjiào | to sleep
住 zhù | to live
用 yòng | to use
会 huì | to be able to/can
不会 bú huì | to not be able to/can’t
说 shuō | to speak
给 gěi | to give
唱歌 chàng gē | to sing
跳舞 tiào wǔ | to dance
想要 xiǎng yào | would like
风 fēng | wind
冷 lěng | cold
热 rè | hot
里边 lǐbian | inside
雨 yǔ | rain
雪 xuě | snow
外边 wàibian | outside
太阳 tàiyáng | sun
天气 tiānqì | weather
喜 xǐ | happy/ happiness
福 fú | lucky/ good fortune
马 mǎ | horse
女 nǚ | female
